Tajuk Perolehan,Kategori Perolehan,Kementerian,Agensi,Nama Syarikat,Nilai Perolehan,Kriteria Rundingan Terus,Tarikh
"PERMOHONAN KELULUSAN KHAS BAGI PEROLEHAN PERKHIDMATAN PROMOSI DAN PUBLISITI DARIPADA BERITA NASIONAL MALAYSIA (BERNAMA) BAGI KEMPEN PROMOSI SKILLSMALAYSIA, JABATAN PEMBANGUNAN KEMAHIRAN SECARA RUNDINGAN TERUS",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER MANUSIA,JABATAN PEMBANGUNAN KEMAHIRAN,PERTUBUHAN BERITA NASIONAL MALAYSIA,140000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),25/03/2013
PERMOHONAN PELANTIKAN STRATSEC.NET SDN. BHD. SECARA RUNDINGAN TERUS BAGI PENYEDIAAN PERKHIDMATAN PENILAIAN DAN PENSIJILAN PRODUK KESELAMATAN MAKLUMAT BERDASARKAN ISO/IEC 15408 (COMMON CRITERIA),PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN SAINS, TEKNOLOGI DAN INOVASI",MALAYSIAN CYBER SECURITY AGENCY,STRATSEC.NET SDN BHD,784400.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),25/03/2013
PERMOHONAN TAMBAHAN NILAI BAGI PERJANJIAN PERKHIDMATAN PENYENGGARAAN GOVERNMENT FINANCIAL MANAGEMENT ACCOUNTING SYSTEM (GFMAS),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN AKAUNTAN NEGARA MALAYSIA,TELITI COMPUTERS SDN. BHD.,200000.00,Penyeragaman,22/03/2013
"PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN SEWAAN PERALATAN TEKNIKAL, PAKEJ MESYUARAT DAN PENGINAPAN DENGAN THR HOTEL (KL) SDN. BHD. BAGI PENGANJURAN MESYUARAT KE-40 ASEAN CONSULTATIVE COMMITTEE FOR STANDARDS AND QUALITY (ACCSQ) DAN INDUSTRY BREAKFAST FORUM WITH LEADERS OF ISO AND IEC",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN SAINS, TEKNOLOGI DAN INOVASI",JABATAN STANDARD MALAYSIA,THR HOTEL (KL) SDN. BHD.,129050.80,Keperluan Mendesak,20/03/2013
"PROJEK MENAIK TARAF TERMINAL PENUMPANG DAN JETI, PEMBINAAN BANGUNAN CIQ DAN JETI BARU DI JETI KUAH, LANGKAWI, KEDAH",KERJA,KEMENTERIAN KERJA RAYA,JABATAN KERJA RAYA MALAYSIA (JKR),UZAIMIN ENTERPRISE (ALOR SETAR) SDN. BHD.,86500000.00,Keperluan Mendesak,20/03/2013
"MEMOHON KELULUSAN KHAS PERBENDAHARAAN UNTUK MELANTIK STORY CIRCLE SEBAGAI SYARIKAT PENGENDALI LATIHAN BAGI PROGRAM BAREFOOT LEADERSHIP CIRCLE DENGAN ANGGARAN KOS RM285,000.00",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,,STORY CIRCLE,255000.00,Kepakaran,14/03/2013
"KERJA-KERJA MENGOPERASI DAN MENELENGGARA LOJI INSINERATOR PULAU LANGKAWI,KEDAH",KERJA,"KEMENTERIAN KESEJAHTERAAN BANDAR, PERUMAHAN DAN KERAJAAN TEMPATAN",JABATAN PENGURUSAN SISA PEPEJAL NEGARA,XCN TECHNOLOGY SDN BHD,7441607.00,Penyeragaman,14/03/2013
PERMOHONAN KELULUSAN RUNDINGAN TERUS BAGI CADANGAN PERKHIDMATAN PENYELENGGARAAN DAN PEMBAIKAN SECARA KOMPREHENSIF LIF-LIF PENUMPANG JENAMA EITA DAN TOSHIBA DI UITM CAWANGAN PULAU PINANG UNTUK TEMPOH TIGA (3) TAHUN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN TINGGI,,"EITA ELEVATOR (MALAYSIA) SDN. BHD., MS ELEVATORS ENGINEERING SDN. BHD.",200880.00,Keperluan Mendesak,07/03/2013
PERMOHONAN PELANJUTAN KONTRAK BAGI PELAKSANAAN DAN PERLUASAN PROJEK MALAYSIA EMERGENCY RESPONSE SERVICES 999 (MERS 999) UNTUK TAHUN 2013 HINGGA 2014 DENGAN TELEKOM MALAYSIA BHD (TM),BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KOMUNIKASI DAN MULTIMEDIA,,TELEKOM MALAYSIA BERHAD,233000000.00,"Penyeragaman, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",06/03/2013
"PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PENYELENGGARAAN SISTEM ILMU, PUSAT SUMBER KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI (MITI)",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,,PARADIGM SYSTEMS BERHAD,75000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman",06/03/2013
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS UNTUK MENDAPATKAN PERKHIDMATAN MENJALANKAN KURSUS BERIMPAK TINGGI DALAM MELAKSANAKAN DASAR TRANSFORMASI PENDIDIKAN VOKASIONAL 2013 OLEH RANACO MARINE SDN. BHD. DAN KRU ACADEMY SDN. BHD. BAGI PROJEK USAHA SAMA SEKTOR AWAM SWASTA KEPADA KPM BAGI TEMPOH TUJUH (7) TAHUN,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,BAHAGIAN PENDIDIKAN TEKNIK DAN VOKASIONAL,"KRU ACADEMY SDN. BHD. (KEPAKARAN : MULTIMEDIA-ANIMATOR), RANACO MARINE SDN. BHD. (KEPAKARAN : LATIHAN MARITIM)",62366400.00,Kepakaran,28/02/2013
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PENYEWAAN AMBULAN LAUT HOSPITAL LANGKAWI DENGAN SYARIKAT JMV TRADETECH SDN. BHD. UNTUK TEMPOH TIGA (3) TAHUN DAN OPSYEN PELANJUTAN DUA (2) TAHUN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KESIHATAN,,JMV TRADETECH SDN. BHD.,4680000.00,Keperluan Mendesak,28/02/2013
"PERMOHONAN BAGI PERKHIDMATAN MEMBEKAL, MEMASANG, MENGUJI, MENTAULIAH, MENAIK TARAF, MENYENGGARA DAN MENYEDIAKAN KHIDMAT SOKONGAN UNTUK SISTEM PERAKAUNAN HASIL BERELEKTRONIK (ERAS) DI LEMBAGA HASIL DALAM NEGERI MALAYSIA SECARA RUNDINGAN TERUS DENGAN CENTURY SOFTWARE (M) SDN. BHD. (CENSOF)",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,6100000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),26/02/2013
"PROGRAM PERUMAHAN RAKYAT (PPR) JABATAN PERUMAHAN NEGARA, KPKT SECARA RUNDINGAN TERUS BAGI PPR KOTA SETAR, ALOR SETAR, KEDAH
BIL UNIT : 500 UNIT
TEMPOH PEMBINAAN : 36 BULAN",KERJA,"KEMENTERIAN KESEJAHTERAAN BANDAR, PERUMAHAN DAN KERAJAAN TEMPATAN",JABATAN PERUMAHAN NEGARA,TULANGIS MAJU SDN. BHD.,95000000.00,Keperluan Mendesak,25/02/2013
"PROGRAM PERUMAHAN RAKYAT (PPR) JABATAN PERUMAHAN NEGARA, KPKT SECARA RUNDINGAN TERUS BAGI PPR DIMILIKI DIPAYA RUMPUT, MELAKA TENGAH, MELAKA
BIL. UNIT : 600 UNIT
TEMPOH PEMBINAAN : 36 BULAN",KERJA,"KEMENTERIAN KESEJAHTERAAN BANDAR, PERUMAHAN DAN KERAJAAN TEMPATAN",JABATAN PERUMAHAN NEGARA,GEMAWAN BINA SDN. BHD.,101000000.00,Keperluan Mendesak,25/02/2013
"PROGRAM PERUMAHAN RAKYAT (PPR) JABATAN PERUMAHAN NEGARA, KPKT SECARA RUNDINGAN TERUS BAGI PPR KOTA BHARU, KELANTAN
BIL UNIT : 1,000 UNIT
TEMPOH PEMBINAAN : 36 BULAN",KERJA,"KEMENTERIAN KESEJAHTERAAN BANDAR, PERUMAHAN DAN KERAJAAN TEMPATAN",JABATAN PERUMAHAN NEGARA,INSPIRASI PERKASA SDN. BHD.,188624500.00,Keperluan Mendesak,25/02/2013
"PROGRAM PERUMAHAN RAKYAT (PPR) JABATAN PERUMAHAN NEGARA, KPKT SECARA RUNDINGAN TERUS BAGI PPR AYER PANAS, MELAKA
BIL. UNIT : 500 UNIT
TEMPOH PEMBINAAN : 30 BULAN",KERJA,"KEMENTERIAN KESEJAHTERAAN BANDAR, PERUMAHAN DAN KERAJAAN TEMPATAN",JABATAN PERUMAHAN NEGARA,PERMATA REBANA SDN. BHD.,80000000.00,Keperluan Mendesak,25/02/2013
"PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI SEWAAN PERALATAN DAN PENYELENGGARAAN SISTEM KEHADIRAN BIOMETRIK UNTUK KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",,KERSUMA NYATA SDN. BHD.,148000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman, Keperluan Mendesak",20/02/2013
PERMOHONAN KELULUSAN KEMENTERIAN KEWANGAN BAGI PEROLEHAN PERKHIDMATAN PENGURUSAN PROMOSI KEMENTERIAN PELAJARAN MALAYSIA (KPM) SECARA RUNDINGAN TERUS DENGAN MEDIA PRIMA BERHAD,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,,MEDIA PRIMA BERHAD,26257694.86,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),20/02/2013
PERMOHONAN PERUBAHAN SKOP GOVERNMENT REGIONAL ELECTRONIC ADVANCE TRANSFORMATION (GREAST) FASA 1,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,UNIT PEMODENAN TADBIRAN & PERANCANGAN PENGURUSAN MALAYSIA (MAMPU),BRILLIANCE INFORMATION SDN BHD,375000.00,Keperluan Mendesak,14/02/2013
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PENYELENGGARAAN SISTEM STANDARD ACCOUNTING FOR GOVERNMENT AGENCIES  (SAGA) UNTUK PERBADANAN HARTA INTELEK MALAYSIA (MYIPO),PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN",PERBADANAN HARTA INTELEK MALAYSIA,CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,57000.00,"Penyeragaman, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Keperluan Mendesak",13/02/2013
"PERMOHONAN PEROLEHAN TAMBAHAN KUANTITI BAGI MEMBEKAL, MENGHANTAR, MEMASANG, MENGKONFIGURASI, MENGUJI DAN MENTAULIAH 2 UNIT MESIN PENGIMBAS BAGASI (ONE-OFF)",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,UNIT PEMODENAN TADBIRAN & PERANCANGAN PENGURUSAN MALAYSIA (MAMPU),DINUAR SDN. BHD.,350000.00,Keperluan Mendesak,13/02/2013
"PERMOHONAN KELULUSAN PERTAMBAHAN KUANTITI BAGI PEROLEHAN SECARA RUNDINGAN TERUS MEMBEKAL, MENGHANTAR, MEMASANG, MENGKONFIGURASI, MENGUJI DAN MENTAULIAH 2 UNIT MESIN PENGIMBAS BAGASI",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,,DINUAR SDN. BHD.,340000.00,Keperluan Mendesak,13/02/2013
"PERMOHONAN KELULUSAN PEROLEHAN PERKHIDMATAN 
PENYENGGARAAN DAN SOKONGAN BERKAITAN EMC CENTERA 96 NODES, APPLICATIONXTENDER, DISKXTENDER DAN REPLISTOR DI LEMBAGA HASIL DALAM NEGERI MALAYSIA BAGI TEMPOH SATU (1) TAHUN.",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),IKHLAS INFORMASI TEKNOLOGI SDN. BHD.,2310000.00,"Keperluan Mendesak, Penyeragaman",07/02/2013
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS DENGAN SYARIKAT ING PUBLIC TAKAFUL EHSAN BERHAD BAGI MENDAPATKAN PERKHIDMATAN PELAKSANAAN KEMUDAHAN INSURANS PERUBATAN DAN RAWATAN KLINIK PESAKIT LUAR KEPADA PEKERJA PERBADANAN HARTA INTELK MALAYSIA,PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN",PERBADANAN HARTA INTELEK MALAYSIA,ING PUBLIC TAKAFUL EHSAN BERHAD,394837.59,Kepakaran,05/02/2013
PERMOHONAN KELULUSAN KHAS BAGI PELANTIKAN SECARA RUNDINGAN TERUS PEROLEHAN UNTUK MAJLIS PERHIMPUNAN PERDANA RT DAN PERSIDANGAN RT JPNIN TAHUN 2013,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,JABATAN PERPADUAN NEGARA DAN INTEGRASI NASIONAL,"DE PALMA MANAGEMENT SERVICES SDN. BHD., PUTRAJAYA INTERNATIONAL CONVENTION CENTRE",339700.00,Keperluan Mendesak,05/02/2013
PERMOHONAN KELULUSAN KHAS BAGI PELANTIKAN CENTRE OF EXCELLENCE (COE) SPA UNTUK MELAKSANAKAN KURSUS NOSS JURUTERAPI SPA (MP-061-3:2012) MENGGUNAKAN KAEDAH SISTEM LATIHAN DUAL NASIONAL,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,BEAUBELLE AESTHETICS ACADEMY SDN. BHD.,700000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman",30/01/2013
"PERMOHONAN KELULUSAN SEWAAN PERKHIDMATAN PRASARANA, KEMUDAHAN-KEMUDAHAN LATIHAN DAN PERKHIDMATAN SAJIAN MAKANAN UNTUK PROGRAM LATIHAN KHIDMAT NEGARA (PLKN) DI KAMPUNG TUA, BELANJA KIRI, PARIT, PERAK BAGI TEMPOH EMPAT (4) TAHUN.",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTAHANAN,JABATAN LATIHAN KHIDMAT NEGARA,TEGAS PROLIFIK SDN BHD,20953296.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),30/01/2013
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS PERKHIDMATAN BROADBAND UNIFI BAGI AKSES INTERNET MELALUI WIFI DI ANGKASAPURI DENGAN TELEKOM MALAYSIA,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KOMUNIKASI DAN MULTIMEDIA,JABATAN PENYIARAN MALAYSIA,TELEKOM MALAYSIA BERHAD,107856.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Keperluan Mendesak",21/01/2013
PERMOHONAN KELULUSAN KONTRAK PENYELENGGARAAN PERALATAN BAGI SATU (1) UNIT FULL FIELD DIGITAL MAMMOGRAPHY SECARA RUNDINGAN TERUS DENGAN AGEN TUNGGAL TEMPATAN,BEKALAN,KEMENTERIAN PENDIDIKAN TINGGI,UNIVERSITI MALAYA,SIEMENS MALAYSIA SDN. BHD.,620000.00,"Keperluan Mendesak, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",11/01/2013
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PELAKSANAAN PROGRAM PENSIJILAN 1-INNOCERT,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,SME CORPORATION MALAYSIA,SIRIM BERHAD,699600.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),09/01/2013
PERMOHONAN RUNDINGAN TERUS BAGI PEMBELIAN BALIK (BUY BACK) DAN KONTRAK PENYELENGGARAAN SISTEM W-ICCS SELAMA TIGA TAHUN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,LEMBAGA KEMAJUAN IKAN MALAYSIA (LKIM),TECHNOLOGY INNOVATION RESOURCES SDN. BHD.,2500000.00,Penyeragaman,08/01/2013
PERMOHONAN KELULUSAN RUNDINGAN TERUS BAGI PELANTIKAN PERSATUAN PENGILANG-PENGILANG KASUT MALAYSIA SEBAGAI PERUNDING ACARA MALAYSIA INTERNATIONAL SHOE FESTIVAL (MISF) TAHUN 2013 YANG BERLANGSUNG PADA 28 HINGGA 31 MAC 2013,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,MALAYSIAN FOOTWEAR MANUFACTURERS ASSOCIATION,3188000.00,Kepakaran,07/01/2013
